uuidObjectType;uuidObject;description;iso
ebe0b9fc-658f-4f37-9207-400edd255438;cc73c8da-5f3b-4b7d-80d7-2962ba79ad80;Guam;GUM
ebe0b9fc-658f-4f37-9207-400edd255438;ec4d9bb2-9aa4-4d3a-83be-1cd0cbdffb05;Guatemala;GTM
ebe0b9fc-658f-4f37-9207-400edd255438;317b7420-e096-4b01-9a4c-a0bb330b178b;Guinea;GIN
ebe0b9fc-658f-4f37-9207-400edd255438;7a49334d-c242-45c3-a612-135607993fdc;Guinea-Bissau;GNB
ebe0b9fc-658f-4f37-9207-400edd255438;9b71ef73-246a-4caa-a615-42dc5fbb7117;Guyana;GUY
ebe0b9fc-658f-4f37-9207-400edd255438;07133bcb-23e3-4e31-b86d-13a2458df7a1;Haiti;HTI
ebe0b9fc-658f-4f37-9207-400edd255438;7e974d1b-6483-480c-abb7-48f4dbc90fac;HolySee;VAT
ebe0b9fc-658f-4f37-9207-400edd255438;5750fb96-0d69-4cbd-9f44-8e569568d7c4;Honduras;HND
ebe0b9fc-658f-4f37-9207-400edd255438;c30065d1-e7d0-4d98-90f3-4674e2a8cdaf;Iceland;ISL
ebe0b9fc-658f-4f37-9207-400edd255438;dc88cb15-2ebb-467d-8bcf-d4676f225eb9;India;IND
ebe0b9fc-658f-4f37-9207-400edd255438;71ed5603-859e-4ada-9879-90c1d10948d9;Indonesia;IDN
ebe0b9fc-658f-4f37-9207-400edd255438;b1a25246-e4ce-4da2-9a00-a490240f0ecd;Iraq;IRQ
ebe0b9fc-658f-4f37-9207-400edd255438;62d3bfae-ddb5-4450-9e1c-3cb008a7ec02;Ireland;IRL
ebe0b9fc-658f-4f37-9207-400edd255438;a04a88cf-442b-4ad2-83d4-4a058c961812;Israel;ISR
ebe0b9fc-658f-4f37-9207-400edd255438;7c045114-fd20-4437-9fc7-62c8d7aa48f5;Jamaica;JAM
ebe0b9fc-658f-4f37-9207-400edd255438;25abdfb9-6929-4ecf-8600-f2a44b69e74f;Japan;JPN
ebe0b9fc-658f-4f37-9207-400edd255438;cf202e73-cf1b-4587-b110-b7bff2dd3315;Jordan;JOR
ebe0b9fc-658f-4f37-9207-400edd255438;22f8ea81-4a26-4e5f-a841-c955a4b68135;Kazakhstan;KAZ
ebe0b9fc-658f-4f37-9207-400edd255438;f1bdb54b-af38-4064-9164-7b916787dc4b;Kenya;KEN
ebe0b9fc-658f-4f37-9207-400edd255438;cdb7493b-290d-4882-8b83-2ac2ff01b28d;Kosovo;OWID_KOS
ebe0b9fc-658f-4f37-9207-400edd255438;450c7328-db8d-44dc-9773-f136c6d88410;Kuwait;KWT
ebe0b9fc-658f-4f37-9207-400edd255438;b07a90d9-53e3-43cd-b45b-f8169c6df035;Kyrgyzstan;KGZ
ebe0b9fc-658f-4f37-9207-400edd255438;65f8d5c3-1c19-46ea-b281-1ba1cf39aeb1;Laos;LAO
ebe0b9fc-658f-4f37-9207-400edd255438;3c5eb91a-9442-4de3-b36e-b88c6901a58b;Latvia;LVA
ebe0b9fc-658f-4f37-9207-400edd255438;e3bf5677-4f92-4e02-90f0-f535cab14592;Lebanon;LBN
ebe0b9fc-658f-4f37-9207-400edd255438;c42a8a92-1dd8-4321-91f1-e93d68a26e50;Lesotho;LSO
ebe0b9fc-658f-4f37-9207-400edd255438;4df0230e-0b6d-4f67-8c2f-e09460d19312;Liberia;LBR
ebe0b9fc-658f-4f37-9207-400edd255438;cf6fa56f-9721-4b56-871b-1fb1f627b80e;Libya;LBY
ebe0b9fc-658f-4f37-9207-400edd255438;4e07b4b0-f370-4b6d-89f1-5e2e561a7fa4;Liechtenstein;LIE
ebe0b9fc-658f-4f37-9207-400edd255438;01337c95-4f6c-488e-8bfc-6ce9c6c47517;Lithuania;LTU
ebe0b9fc-658f-4f37-9207-400edd255438;728df93e-a488-4716-96ac-64fbafd74afc;Luxembourg;LUX
ebe0b9fc-658f-4f37-9207-400edd255438;476564a5-4083-4701-a177-88f0095dfaa8;Macau_China;MAC
ebe0b9fc-658f-4f37-9207-400edd255438;0edea784-3722-4101-aecd-bfe7f84de328;Madagascar;MDG
ebe0b9fc-658f-4f37-9207-400edd255438;b8655e3d-7959-43e8-a197-fbd548730541;Malawi;MWI
ebe0b9fc-658f-4f37-9207-400edd255438;dca00607-cde4-45cf-9ad0-10fb07cafd63;Malaysia;MYS
ebe0b9fc-658f-4f37-9207-400edd255438;47c3fd3d-0c7c-47f7-80ba-c0cd3d7d9c9b;Maldives;MDV
ebe0b9fc-658f-4f37-9207-400edd255438;14e5bcd1-c758-46ef-b67e-68a368b312c4;Mali;MLI
ebe0b9fc-658f-4f37-9207-400edd255438;f0e6495c-2e92-4b16-a2cb-1aece385de83;Martinique_France;MTQ
ebe0b9fc-658f-4f37-9207-400edd255438;82fcd26d-f7ed-4888-9b13-6041e9dcded4;Mauritania;MRT
ebe0b9fc-658f-4f37-9207-400edd255438;beed0f65-0a51-4bda-be58-12f41b790477;Mauritius;MUS
ebe0b9fc-658f-4f37-9207-400edd255438;2818e59b-b2a6-4c35-970c-61969bca293c;Mayotte_France;MYT
ebe0b9fc-658f-4f37-9207-400edd255438;c813d05d-5cb5-476f-a221-5144a87bda6a;MetropolitanFrance;
ebe0b9fc-658f-4f37-9207-400edd255438;bb32db10-96cc-403e-9431-d0dd517bdf8a;MetropolitanFrance_France;
ebe0b9fc-658f-4f37-9207-400edd255438;64b1f1bb-1736-4653-8c87-b27d7461dfeb;Mexico;MEX
ebe0b9fc-658f-4f37-9207-400edd255438;fdd01891-3a5b-4666-b1db-c1331ee57783;Moldova;MDA
ebe0b9fc-658f-4f37-9207-400edd255438;23c770b6-02a8-49e7-a351-9ec8345a7e27;Monaco;MCO
ebe0b9fc-658f-4f37-9207-400edd255438;7a60e5b0-cb3f-43c4-9f24-cb48e85a06d3;Mongolia;MNG
ebe0b9fc-658f-4f37-9207-400edd255438;5a40708d-f85d-4d01-b663-3786418a92e9;Montenegro;MNE
ebe0b9fc-658f-4f37-9207-400edd255438;38aa28ac-f491-469e-9f25-98c1453ed96e;Morocco;MAR
ebe0b9fc-658f-4f37-9207-400edd255438;9ca5123b-616d-44d2-a850-48a1057b91e1;Mozambique;MOZ
ebe0b9fc-658f-4f37-9207-400edd255438;286e0fca-5b2e-4e21-ac60-a3059acfcfbd;Myanmar;MMR
ebe0b9fc-658f-4f37-9207-400edd255438;d9af5532-207d-4fdf-89f4-10ffed4e4e27;Namibia;NAM
ebe0b9fc-658f-4f37-9207-400edd255438;568dec2e-553f-4282-87a6-acaa514019e0;Nepal;NPL
ebe0b9fc-658f-4f37-9207-400edd255438;c82e7d0a-79ce-494f-97ef-b63197a4baf1;Netherlands;NLD
ebe0b9fc-658f-4f37-9207-400edd255438;a7ec8574-0ab7-4dbe-857c-b4df535adaa0;NewZealand;NZL
